routes_id,lat,lng,routes_status_code,uber_pool_distance,uber_pool_duration,uber_pool_high_estimate,uber_pool_low_estimate,uber_x_distance,uber_x_duration,uber_x_high_estimate,uber_x_low_estimate,uber_pool_surge,uber_x_surge,radius
145,42.3695407377729,-71.09726214770583,200,1.57,480.0,8.0,5.0,1.57,480.0,10.0,7.0,,,1.25
146,42.36797471854579,-71.09784716875377,200,1.48,360.0,8.0,4.0,1.48,360.0,9.0,7.0,,,1.25
147,42.36645374520928,-71.09861984994895,200,1.64,420.0,8.0,5.0,1.64,420.0,10.0,7.0,,,1.25
148,42.36499006374634,-71.09957397011678,200,1.77,480.0,9.0,5.0,1.77,480.0,10.0,8.0,,,1.25
149,42.3635954588595,-71.10070184724262,200,1.83,540.0,9.0,6.0,1.83,540.0,11.0,8.0,,,1.25
150,42.36228115908728,-71.10199440032308,200,2.92,720.0,13.0,9.0,2.92,720.0,13.0,10.0,,,1.25
151,42.36105774639864,-71.10344122248074,200,2.79,600.0,12.0,9.0,2.79,600.0,13.0,10.0,,,1.25
152,42.35993507099322,-71.10503066475431,200,2.68,600.0,12.0,8.0,2.68,600.0,12.0,9.0,,,1.25
153,42.35892217199324,-71.10674992988918,200,2.43,540.0,12.0,8.0,2.43,540.0,12.0,9.0,,,1.25
154,42.35802720466589,-71.10858517537339,200,1.98,540.0,11.0,7.0,1.98,540.0,11.0,8.0,,,1.25
155,42.35725737476184,-71.11052162488944,200,2.18,540.0,11.0,8.0,2.18,540.0,12.0,9.0,,,1.25
156,42.35661888049884,-71.11254368728439,200,1.98,480.0,11.0,7.0,1.98,480.0,11.0,8.0,,,1.25
157,42.35611686265725,-71.1146350821008,200,1.89,420.0,11.0,7.0,1.89,420.0,11.0,8.0,,,1.25
158,42.355755363189566,-71.11677897065739,200,6.25,840.0,19.0,14.0,6.25,840.0,20.0,15.0,,,1.25
159,42.355537292676935,-71.11895809162401,200,2.16,540.0,11.0,7.0,2.16,540.0,11.0,8.0,,,1.25
160,42.35546440689491,-71.12115490000002,200,2.23,780.0,11.0,7.0,2.23,780.0,11.0,8.0,,,1.25
161,42.355537292676935,-71.12335170837595,200,2.12,720.0,10.0,6.0,2.12,720.0,10.0,7.0,,,1.25
162,42.355755363189566,-71.1255308293426,200,2.01,720.0,10.0,6.0,2.01,720.0,9.0,7.0,,,1.25
163,42.35611686265725,-71.12767471789917,200,1.9,600.0,9.0,6.0,1.9,600.0,9.0,6.0,,,1.25
164,42.35661888049884,-71.1297661127156,200,2.17,720.0,10.0,6.0,2.17,720.0,10.0,7.0,,,1.25
